Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0603_1608Metric",110.236000,-84.836000,180.000000,bottom
"C2","100n","C_0603_1608Metric",104.218000,-52.705000,0.000000,bottom
"C3","100n","C_0603_1608Metric",104.218000,-72.136000,0.000000,bottom
"C4","100n","C_0603_1608Metric",104.218000,-39.497000,0.000000,bottom
"C5","10uF","C_0805_2012Metric",112.776000,-38.034000,-90.000000,bottom
"IC2","74HCT00","SOIC-14_3.9x8.7mm_P1.27mm",105.918000,-58.166000,180.000000,bottom
"IC3","74HCT173","SOIC-16_3.9x9.9mm_P1.27mm",105.918000,-78.232000,180.000000,bottom
"IC4","74HCT02","SOIC-14_3.9x8.7mm_P1.27mm",105.918000,-44.958000,180.000000,bottom
"R1","100R","R_0603_1608Metric",109.982000,-69.596000,0.000000,bottom
